x,y
-0.9226932668,1.1079900125
-0.8827930175,1.1029962547
-0.8329177057,1.0880149813
-0.7680798005,1.0680399501
-0.7182044888,1.043071161
-0.6733167082,0.9981273408
-0.63840399,0.9581772784
-0.6034912718,0.9132334582
-0.578553616,0.8632958802
-0.5436408978,0.8033707865
-0.5137157107,0.7534332085
-0.4887780549,0.7034956305
-0.4538653367,0.6335830212
-0.4089775561,0.5586766542
-0.3740648379,0.4937578028
-0.3441396509,0.4338327091
-0.3142144638,0.3789013733
-0.289276808,0.3389513109
-0.2693266833,0.2990012484
-0.2493765586,0.2490636704
-0.2044887781,0.184144819
-0.1795511222,0.15917603
-0.1396508728,0.1092384519
-0.114713217,0.0792759051
-0.0798004988,0.0493133583
-0.0448877805,0.0293383271
0,0.0193508115
0.0498753117,0.0293383271
0.1097256858,0.0593008739
0.1496259352,0.0892634207
0.174563591,0.1392009988
0.2194513716,0.1941323346
0.2643391521,0.2690387016
0.2842892768,0.308988764
0.3241895262,0.3789013733
0.3591022444,0.4438202247
0.3990024938,0.5237203496
0.4389027431,0.5936329588
0.463840399,0.638576779
0.4987531172,0.7034956305
0.5336658354,0.7584269663
0.5685785536,0.8183520599
0.6234413965,0.9132334582
0.6683291771,0.968164794
0.6932668329,0.9981273408
0.7281795511,1.0280898876
0.7630922693,1.0530586767
0.8079800499,1.0780274657
0.8478802993,1.0930087391
0.897755611,1.1029962547
0.9426433915,1.1079900125
0.9725685786,1.1129837703